情報	説明
スタッフ	システムを利用するスタッフの情報（ID、名前、メールアドレス、パスワード、連絡先、所属施設）
権限	スタッフに割り当てる権限ロールの情報（ロールID、ロール名、利用可能機能、表示可能項目）
施設	宿泊施設の基本情報（施設ID、施設名、住所、電話番号、アクセス方法、チェックイン/アウト時刻）
部屋タイプ	部屋の分類情報（タイプID、タイプ名、収容可能人数、喫煙可否、設備、ベッドタイプ）
部屋	実際の部屋の情報（部屋ID、部屋番号、所属施設、部屋タイプ、外部連携用ID、フロア）
シーズン	料金設定のためのシーズン区分（シーズンID、シーズン名、開始日、終了日、料金倍率）
レートプラン	料金プランの情報（プランID、プラン名、基準料金、適用条件、割引率、キャンセルポリシー）
予約	予約の情報（予約ID、ゲスト情報、部屋タイプ、チェックイン日、チェックアウト日、人数、ステータス、流入元OTA、料金、特記事項）
ゲスト	宿泊するゲストの情報（ゲストID、氏名、連絡先、メールアドレス、国籍、過去の宿泊履歴）
宿泊者名簿	旅館業法に基づく宿泊者名簿（名簿ID、予約ID、ゲスト氏名、住所、電話番号、職業、国籍、パスポート番号、記入日時、記入ステータス）
清掃	清掃の情報（清掃ID、部屋ID、清掃日、清掃ステータス、担当清掃スタッフ、備品不足情報、完了日時）
部屋状態	部屋の現在の状態（部屋ID、ステータス、最終更新日時、次回チェックイン予定）
在庫	販売可能な部屋の在庫情報（在庫ID、施設ID、部屋タイプ、日付、販売可能数、残数）
料金カレンダー	日別の料金情報（施設ID、部屋タイプ、日付、レートプラン、料金）
売上	売上の情報（売上ID、予約ID、施設ID、宿泊日、売上金額、手数料、純利益、流入元OTA）
チェックイン案内	ゲストへのチェックイン案内情報（案内ID、予約ID、送信日時、トークンURL、記入完了フラグ）
外部連携設定	サイトコントローラーとの連携設定（設定ID、施設ID、サイトコントローラー種別、APIキー、外部施設ID、同期方式）
